,MovieTitle,chg_ON,chg_ON_abs
2004-09-10,ベイブ・都会へ行く,-0.005540921064583517,0.005540921064583517
2004-09-17,GODZILLAゴジラ,0.0015489749430524073,0.0015489749430524073
2004-09-24,ジャンヌ・ダルク,0.00027110066871499313,0.00027110066871499313
2004-10-01,ダイ・ハード,0.003985868285170738,0.003985868285170738
2004-10-08,エネミー・オブ・アメリカ,-0.00860585197934598,0.00860585197934598
2004-10-15,DENGEKI／電撃,-0.003921926304268577,0.003921926304268577
2004-10-22,ルパン三世ルパンVS複製人間,-0.009108653220559568,0.009108653220559568
2004-10-29,ローマの休日,-0.0008500991782374932,0.0008500991782374932
2004-11-05,フィフス・エレメント,-0.005278039585296777,0.005278039585296777
2004-11-12,シュレック,-0.00631479736098009,0.00631479736098009
2004-11-19,もののけ姫,-0.009886734497984268,0.009886734497984268
2004-11-26,プレデター2,0.002536090518923187,0.002536090518923187
2004-12-03,スパイダーマン,-0.0142001545595054,0.0142001545595054
2004-12-10,千と千尋の神隠し,0.002090857251473093,0.002090857251473093
2004-12-17,コブラ,-0.0026796822662455847,0.0026796822662455847
2004-12-24,天空の城ラピュタ,-0.00019277108433731103,0.00019277108433731103
2005-01-07,ハムナプトラ失われた砂漠の都,-0.003824457405105705,0.003824457405105705
2005-01-14,ドリヴン,-0.009321293329449401,0.009321293329449401
2005-01-21,マキシマム・リスク,-0.007527504342790978,0.007527504342790978
2005-01-28,PLANETOFTHEAPES／猿の惑星,0.004166666666666595,0.004166666666666595
2005-02-04,マスク・オブ・ゾロ,-0.0015311004784688668,0.0015311004784688668
2005-02-11,イレイザー,,
2005-02-25,ターミネーター3,-0.003990119703591124,0.003990119703591124
2005-03-04,アイ・アム・サム,-0.007682822725979344,0.007682822725979344
2005-03-18,グラディエーター,0.0036249165315271913,0.0036249165315271913
2005-03-25,ギャング・オブ・ニューヨーク,0.0013160368490317783,0.0013160368490317783
2005-04-01,身代金,0.004381467325440467,0.004381467325440467
2005-04-08,沈黙の戦艦,-0.0033133916244822773,0.0033133916244822773
2005-04-15,幸福の黄色いハンカチ,-0.007386206259809779,0.007386206259809779
2005-04-22,紅の豚,-0.007885843034171886,0.007885843034171886
2005-04-29,ソードフィッシュ,,
2005-05-06,Shallweダンス？,0.005441527446300651,0.005441527446300651
2005-05-13,エボリューション,0.005238050696847837,0.005238050696847837
2005-05-20,アナコンダ,0.006418007627197448,0.006418007627197448
2005-05-27,デンジャラスビューティー,0.0028746290801187156,0.0028746290801187156
2005-06-03,ロミオ・マスト・ダイ,-0.0013903049402169403,0.0013903049402169403
2005-06-10,バンディッツ,0.010331347728964999,0.010331347728964999
2005-06-17,インビジブル,0.0,0.0
2005-06-24,スター・ウォーズエピソード1ファントム・メナス,-9.154994049258552e-05,9.154994049258552e-05
2005-07-01,トップガン,0.00576109460797552,0.00576109460797552
2005-07-08,スター・ウォーズエピソード2クローンの攻撃,-0.0007124410009797177,0.0007124410009797177
2005-07-15,ゴースト・ニューヨークの幻,0.0005366726296959059,0.0005366726296959059
2005-07-22,ルパン三世ＳＰ天使の策略（タクティクス）〜夢のカケラは殺しの香り〜,0.005232767953807275,0.005232767953807275
2005-07-29,着信アリ,0.0041896951328222395,0.0041896951328222395
2005-08-05,火垂るの墓,0.009067241224526484,0.009067241224526484
2005-08-12,クロスゲージ,-0.0015515195765263075,0.0015515195765263075
2005-08-19,ナッティ・プロフェッサー２クランプ家の面々,-0.002797329001985094,0.002797329001985094
2005-08-26,猫の恩返し,0.0008197467893249767,0.0008197467893249767
2005-09-09,ラッシュアワー,-0.011855203619909523,0.011855203619909523
2005-09-16,魔女の宅急便,0.00804192644799856,0.00804192644799856
2005-09-30,スネーク・アイズ,0.0024717514124293887,0.0024717514124293887
2005-10-07,ラスト・アクション・ヒーロー,0.006617257808364214,0.006617257808364214
2005-10-14,チャーリーズ・エンジェル,-0.0022705440572876176,0.0022705440572876176
2005-10-21,キャスパー,0.006600660066006645,0.006600660066006645
2005-10-28,ペイバック,0.004948775829136943,0.004948775829136943
2005-11-04,メジャーリーグ3,0.00544032641958518,0.00544032641958518
2005-11-11,ダンジョン＆ドラゴン,0.0009336275674759264,0.0009336275674759264
2005-11-18,天使にラブソングを2,-0.0004193575442421971,0.0004193575442421971
2005-11-25,仄暗い水の底から,0.0038567955059948685,0.0038567955059948685
2005-12-02,ハリー・ポッターと秘密の部屋,0.003314825557304976,0.003314825557304976
2005-12-09,キューティ・ブロンド,0.0014916715007872098,0.0014916715007872098
2005-12-16,グリーン・デスティニー,-0.0037921227268809593,0.0037921227268809593
2006-01-06,バーティカル・リミット,-0.013436692506459846,0.013436692506459846
2006-01-13,トリプルX,-0.005414374290455022,0.005414374290455022
